City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Snowfall Last Hour,Rainfall Last Hour
199,Leshan,CN,29.56,103.76,75.33,79,96,1.05,overcast clouds,0,0.0
200,Ndele,CF,8.41,20.65,69.93,95,98,1.54,moderate rain,0,1.31
201,Mezen,RU,65.85,44.24,45.7,94,19,3.33,few clouds,0,0.0
202,Mehamn,NO,71.04,27.85,47.48,83,0,5.06,clear sky,0,0.0
203,Strzelce Opolskie,PL,50.51,18.3,54.0,92,8,3.94,clear sky,0,0.0
204,Laguna,US,38.42,-121.42,105.01,11,1,6.93,clear sky,0,0.0
205,Kahului,US,20.89,-156.47,89.6,46,40,29.97,scattered clouds,0,0.0
206,Ancud,CL,-41.87,-73.82,39.0,93,75,2.24,broken clouds,0,0.0
207,Kyabe,TD,9.45,18.94,75.61,82,95,2.57,light rain,0,0.24
208,Puerto Escondido,MX,15.85,-97.07,86.0,70,75,5.82,broken clouds,0,0.0
209,Talas,TR,38.69,35.55,59.0,82,0,1.92,clear sky,0,0.0
210,Oranjemund,NA,-28.55,16.43,54.88,80,0,13.38,clear sky,0,0.0
211,Nabire,ID,-3.37,135.48,81.72,74,99,3.49,overcast clouds,0,0.0
212,Kavaratti,IN,10.57,72.64,82.45,75,100,10.69,moderate rain,0,1.07
213,Itarema,BR,-2.92,-39.92,77.88,77,57,14.61,broken clouds,0,0.0
214,Hofn,IS,64.25,-15.21,50.95,87,100,8.08,light rain,0,0.23
215,San Policarpo,PH,12.18,125.51,82.62,73,100,2.66,overcast clouds,0,0.0
216,Touros,BR,-5.2,-35.46,71.6,94,14,3.36,few clouds,0,0.0
217,Cherskiy,RU,68.75,161.3,54.52,89,100,2.82,overcast clouds,0,0.0
218,Agara,GE,42.04,43.82,65.08,73,99,1.61,overcast clouds,0,0.0
219,Salalah,OM,17.02,54.09,80.6,94,90,3.36,drizzle,0,0.0
